Series_ID,Series_Name,Year,Period,Label,Value
LNU04032237,Information Industry,2018,M10,2018 Oct,3.2
LNU04032237,Information Industry,2018,M11,2018 Nov,3.8
LNU04032237,Information Industry,2018,M12,2018 Dec,3.9
LNU04032237,Information Industry,2019,M01,2019 Jan,4.7
LNU04032237,Information Industry,2019,M02,2019 Feb,4.1
LNU04032237,Information Industry,2019,M03,2019 Mar,4
LNU04032237,Information Industry,2019,M04,2019 Apr,3.5
LNU04032237,Information Industry,2019,M05,2019 May,3
LNU04032237,Information Industry,2019,M06,2019 Jun,2.7
LNU04032237,Information Industry,2019,M07,2019 Jul,3.9
LNU04032237,Information Industry,2019,M08,2019 Aug,4.7
LNU04032237,Information Industry,2019,M09,2019 Sep,4.4
LNU04032237,Information Industry,2019,M10,2019 Oct,3.3
LNU04032237,Information Industry,2019,M11,2019 Nov,1.6
LNU04032237,Information Industry,2019,M12,2019 Dec,1.9
LNU04032237,Information Industry,2020,M01,2020 Jan,2.3
LNU04032237,Information Industry,2020,M02,2020 Feb,2.6
LNU04032237,Information Industry,2020,M03,2020 Mar,1.8
LNU04032237,Information Industry,2020,M04,2020 Apr,11
LNU04032237,Information Industry,2020,M05,2020 May,10.9
LNU04032237,Information Industry,2020,M06,2020 Jun,12
LNU04032237,Information Industry,2020,M07,2020 Jul,12.3
LNU04032237,Information Industry,2020,M08,2020 Aug,8.6
LNU04032237,Information Industry,2020,M09,2020 Sep,8.6
LNU04032237,Information Industry,2020,M10,2020 Oct,5.8
LNU04032237,Information Industry,2020,M11,2020 Nov,8.2
LNU04032237,Information Industry,2020,M12,2020 Dec,6.4
LNU04032237,Information Industry,2021,M01,2021 Jan,7.4
LNU04032237,Information Industry,2021,M02,2021 Feb,6.2
LNU04032237,Information Industry,2021,M03,2021 Mar,6.6
LNU04032237,Information Industry,2021,M04,2021 Apr,5.9
LNU04032237,Information Industry,2021,M05,2021 May,5.8
LNU04032237,Information Industry,2021,M06,2021 Jun,6.1
LNU04032241,Leisure and Hospitality,2018,M01,2018 Jan,6.8
LNU04032241,Leisure and Hospitality,2018,M02,2018 Feb,6.8
LNU04032241,Leisure and Hospitality,2018,M03,2018 Mar,5.8
LNU04032241,Leisure and Hospitality,2018,M04,2018 Apr,5.2
LNU04032241,Leisure and Hospitality,2018,M05,2018 May,4.9
LNU04032241,Leisure and Hospitality,2018,M06,2018 Jun,5.7
LNU04032241,Leisure and Hospitality,2018,M07,2018 Jul,5.2
LNU04032241,Leisure and Hospitality,2018,M08,2018 Aug,5.8
LNU04032241,Leisure and Hospitality,2018,M09,2018 Sep,5.4
LNU04032241,Leisure and Hospitality,2018,M10,2018 Oct,5.4
LNU04032241,Leisure and Hospitality,2018,M11,2018 Nov,5.3
LNU04032241,Leisure and Hospitality,2018,M12,2018 Dec,6
LNU04032241,Leisure and Hospitality,2019,M01,2019 Jan,6.4
LNU04032241,Leisure and Hospitality,2019,M02,2019 Feb,5.8
LNU04032241,Leisure and Hospitality,2019,M03,2019 Mar,5.8
LNU04032241,Leisure and Hospitality,2019,M04,2019 Apr,4.5
LNU04032241,Leisure and Hospitality,2019,M05,2019 May,5
LNU04032241,Leisure and Hospitality,2019,M06,2019 Jun,4.9
LNU04032241,Leisure and Hospitality,2019,M07,2019 Jul,5.3
LNU04032241,Leisure and Hospitality,2019,M08,2019 Aug,5
LNU04032241,Leisure and Hospitality,2019,M09,2019 Sep,4.8
LNU04032241,Leisure and Hospitality,2019,M10,2019 Oct,5.3
LNU04032241,Leisure and Hospitality,2019,M11,2019 Nov,4.9
LNU04032241,Leisure and Hospitality,2019,M12,2019 Dec,5
LNU04032241,Leisure and Hospitality,2020,M01,2020 Jan,5.9
