Series_ID,Series_Name,Year,Period,Label,Value
LNU04032236,Transportation and Utilities Industry,2018,M12,2018 Dec,3.9
LNU04032236,Transportation and Utilities Industry,2019,M01,2019 Jan,3.6
LNU04032236,Transportation and Utilities Industry,2019,M02,2019 Feb,4.1
LNU04032236,Transportation and Utilities Industry,2019,M03,2019 Mar,3.6
LNU04032236,Transportation and Utilities Industry,2019,M04,2019 Apr,3.4
LNU04032236,Transportation and Utilities Industry,2019,M05,2019 May,4.1
LNU04032236,Transportation and Utilities Industry,2019,M06,2019 Jun,3.7
LNU04032236,Transportation and Utilities Industry,2019,M07,2019 Jul,3.7
LNU04032236,Transportation and Utilities Industry,2019,M08,2019 Aug,4.2
LNU04032236,Transportation and Utilities Industry,2019,M09,2019 Sep,3.2
LNU04032236,Transportation and Utilities Industry,2019,M10,2019 Oct,2.6
LNU04032236,Transportation and Utilities Industry,2019,M11,2019 Nov,3
LNU04032236,Transportation and Utilities Industry,2019,M12,2019 Dec,2.6
LNU04032236,Transportation and Utilities Industry,2020,M01,2020 Jan,3
LNU04032236,Transportation and Utilities Industry,2020,M02,2020 Feb,3.5
LNU04032236,Transportation and Utilities Industry,2020,M03,2020 Mar,5.1
LNU04032236,Transportation and Utilities Industry,2020,M04,2020 Apr,13.6
LNU04032236,Transportation and Utilities Industry,2020,M05,2020 May,14.2
LNU04032236,Transportation and Utilities Industry,2020,M06,2020 Jun,12.9
LNU04032236,Transportation and Utilities Industry,2020,M07,2020 Jul,13.8
LNU04032236,Transportation and Utilities Industry,2020,M08,2020 Aug,11.3
LNU04032236,Transportation and Utilities Industry,2020,M09,2020 Sep,9.8
LNU04032236,Transportation and Utilities Industry,2020,M10,2020 Oct,7.9
LNU04032236,Transportation and Utilities Industry,2020,M11,2020 Nov,8
LNU04032236,Transportation and Utilities Industry,2020,M12,2020 Dec,8.4
LNU04032236,Transportation and Utilities Industry,2021,M01,2021 Jan,8.2
LNU04032236,Transportation and Utilities Industry,2021,M02,2021 Feb,8.4
LNU04032236,Transportation and Utilities Industry,2021,M03,2021 Mar,8.3
LNU04032236,Transportation and Utilities Industry,2021,M04,2021 Apr,6.8
LNU04032236,Transportation and Utilities Industry,2021,M05,2021 May,7.2
LNU04032236,Transportation and Utilities Industry,2021,M06,2021 Jun,6
LNU04032235,Wholesale and Retail Trade,2018,M01,2018 Jan,5.3
LNU04032235,Wholesale and Retail Trade,2018,M02,2018 Feb,5.3
LNU04032235,Wholesale and Retail Trade,2018,M03,2018 Mar,4.8
LNU04032235,Wholesale and Retail Trade,2018,M04,2018 Apr,4.2
LNU04032235,Wholesale and Retail Trade,2018,M05,2018 May,4.5
LNU04032235,Wholesale and Retail Trade,2018,M06,2018 Jun,4.2
LNU04032235,Wholesale and Retail Trade,2018,M07,2018 Jul,4.1
LNU04032235,Wholesale and Retail Trade,2018,M08,2018 Aug,4.3
LNU04032235,Wholesale and Retail Trade,2018,M09,2018 Sep,4
LNU04032235,Wholesale and Retail Trade,2018,M10,2018 Oct,3.9
LNU04032235,Wholesale and Retail Trade,2018,M11,2018 Nov,3.9
LNU04032235,Wholesale and Retail Trade,2018,M12,2018 Dec,3.7
LNU04032235,Wholesale and Retail Trade,2019,M01,2019 Jan,4.8
LNU04032235,Wholesale and Retail Trade,2019,M02,2019 Feb,5
LNU04032235,Wholesale and Retail Trade,2019,M03,2019 Mar,4.7
LNU04032235,Wholesale and Retail Trade,2019,M04,2019 Apr,4.3
LNU04032235,Wholesale and Retail Trade,2019,M05,2019 May,4.2
LNU04032235,Wholesale and Retail Trade,2019,M06,2019 Jun,3.9
LNU04032235,Wholesale and Retail Trade,2019,M07,2019 Jul,3.9
LNU04032235,Wholesale and Retail Trade,2019,M08,2019 Aug,4.1
LNU04032235,Wholesale and Retail Trade,2019,M09,2019 Sep,3.4
LNU04032235,Wholesale and Retail Trade,2019,M10,2019 Oct,3.6
LNU04032235,Wholesale and Retail Trade,2019,M11,2019 Nov,3.4
LNU04032235,Wholesale and Retail Trade,2019,M12,2019 Dec,3.6
LNU04032235,Wholesale and Retail Trade,2020,M01,2020 Jan,4.7
LNU04032235,Wholesale and Retail Trade,2020,M02,2020 Feb,4.2
LNU04032235,Wholesale and Retail Trade,2020,M03,2020 Mar,5
LNU04032235,Wholesale and Retail Trade,2020,M04,2020 Apr,17.1
LNU04032235,Wholesale and Retail Trade,2020,M05,2020 May,15.1
LNU04032235,Wholesale and Retail Trade,2020,M06,2020 Jun,11.2
LNU04032235,Wholesale and Retail Trade,2020,M07,2020 Jul,9.7
LNU04032235,Wholesale and Retail Trade,2020,M08,2020 Aug,8.3
LNU04032235,Wholesale and Retail Trade,2020,M09,2020 Sep,7.8
LNU04032235,Wholesale and Retail Trade,2020,M10,2020 Oct,6.5
LNU04032235,Wholesale and Retail Trade,2020,M11,2020 Nov,6
LNU04032235,Wholesale and Retail Trade,2020,M12,2020 Dec,5.5
LNU04032235,Wholesale and Retail Trade,2021,M01,2021 Jan,6.9
LNU04032235,Wholesale and Retail Trade,2021,M02,2021 Feb,6.8
LNU04032235,Wholesale and Retail Trade,2021,M03,2021 Mar,6.7
LNU04032235,Wholesale and Retail Trade,2021,M04,2021 Apr,6.2
LNU04032235,Wholesale and Retail Trade,2021,M05,2021 May,6.6
LNU04032235,Wholesale and Retail Trade,2021,M06,2021 Jun,6.2
